year,month,date_of_month,day_of_week,births,weekend
1994,january,1,saturday,8096,TRUE
1994,january,2,sunday,7772,TRUE
1994,january,3,monday,10142,FALSE
1994,january,4,tuesday,11248,FALSE
1994,january,5,wednesday,11053,FALSE
1994,january,6,thursday,11406,FALSE
1994,january,7,friday,11251,FALSE
1994,january,8,saturday,8653,TRUE
1994,january,9,sunday,7910,TRUE
1994,january,10,monday,10498,FALSE
1994,january,11,tuesday,11706,FALSE
1994,january,12,wednesday,11567,FALSE
1994,january,13,thursday,11212,FALSE
1994,january,14,friday,11570,FALSE
1994,january,15,saturday,8660,TRUE
1994,january,16,sunday,8123,TRUE
1994,january,17,monday,10567,FALSE
1994,january,18,tuesday,11541,FALSE
1994,january,19,wednesday,11257,FALSE
1994,january,20,thursday,11682,FALSE
1994,january,21,friday,11811,FALSE
1994,january,22,saturday,8833,TRUE
1994,january,23,sunday,8310,TRUE
1994,january,24,monday,11125,FALSE
1994,january,25,tuesday,11981,FALSE
1994,january,26,wednesday,11514,FALSE
1994,january,27,thursday,11702,FALSE
1994,january,28,friday,11666,FALSE
1994,january,29,saturday,8988,TRUE
1994,january,30,sunday,8096,TRUE
1994,january,31,monday,10765,FALSE
1994,february,1,tuesday,11755,FALSE
1994,february,2,wednesday,11483,FALSE
1994,february,3,thursday,11523,FALSE
1994,february,4,friday,11677,FALSE
1994,february,5,saturday,8991,TRUE
1994,february,6,sunday,8309,TRUE
1994,february,7,monday,10984,FALSE
1994,february,8,tuesday,12152,FALSE
1994,february,9,wednesday,11515,FALSE
1994,february,10,thursday,11623,FALSE
1994,february,11,friday,11517,FALSE
1994,february,12,saturday,8945,TRUE
1994,february,13,sunday,8171,TRUE
1994,february,14,monday,11551,FALSE
1994,february,15,tuesday,12164,FALSE
1994,february,16,wednesday,12009,FALSE
1994,february,17,thursday,11674,FALSE
1994,february,18,friday,11887,FALSE
1994,february,19,saturday,8946,TRUE
1994,february,20,sunday,8402,TRUE
1994,february,21,monday,10617,FALSE
1994,february,22,tuesday,11810,FALSE
1994,february,23,wednesday,11776,FALSE
1994,february,24,thursday,11667,FALSE
1994,february,25,friday,11905,FALSE
1994,february,26,saturday,8988,TRUE
1994,february,27,sunday,8195,TRUE
1994,february,28,monday,11091,FALSE
1994,march,1,tuesday,12127,FALSE
1994,march,2,wednesday,11735,FALSE
1994,march,3,thursday,11984,FALSE
1994,march,4,friday,12066,FALSE
1994,march,5,saturday,9215,TRUE
1994,march,6,sunday,8389,TRUE
1994,march,7,monday,10996,FALSE
1994,march,8,tuesday,12275,FALSE
1994,march,9,wednesday,11780,FALSE
1994,march,10,thursday,11792,FALSE
1994,march,11,friday,11939,FALSE
1994,march,12,saturday,9087,TRUE
1994,march,13,sunday,8248,TRUE
1994,march,14,monday,11092,FALSE
1994,march,15,tuesday,12298,FALSE
1994,march,16,wednesday,11865,FALSE
1994,march,17,thursday,11976,FALSE
1994,march,18,friday,11799,FALSE
1994,march,19,saturday,8944,TRUE
1994,march,20,sunday,8243,TRUE
1994,march,21,monday,11140,FALSE
1994,march,22,tuesday,11964,FALSE
1994,march,23,wednesday,11637,FALSE
1994,march,24,thursday,11904,FALSE
1994,march,25,friday,11568,FALSE
1994,march,26,saturday,8957,TRUE
1994,march,27,sunday,8189,TRUE
1994,march,28,monday,11051,FALSE
1994,march,29,tuesday,12154,FALSE
1994,march,30,wednesday,11540,FALSE
1994,march,31,thursday,11782,FALSE
1994,april,1,friday,10630,FALSE
1994,april,2,saturday,8782,TRUE
1994,april,3,sunday,7530,TRUE
1994,april,4,monday,10909,FALSE
1994,april,5,tuesday,11876,FALSE
1994,april,6,wednesday,11811,FALSE
1994,april,7,thursday,11718,FALSE
1994,april,8,friday,11532,FALSE
1994,april,9,saturday,8791,TRUE
1994,april,10,sunday,8183,TRUE
1994,april,11,monday,11060,FALSE
1994,april,12,tuesday,12146,FALSE
1994,april,13,wednesday,11428,FALSE
1994,april,14,thursday,11709,FALSE
1994,april,15,friday,11753,FALSE
1994,april,16,saturday,8790,TRUE
1994,april,17,sunday,7867,TRUE
1994,april,18,monday,11094,FALSE
1994,april,19,tuesday,11966,FALSE
1994,april,20,wednesday,11585,FALSE
1994,april,21,thursday,11509,FALSE
1994,april,22,friday,11553,FALSE
1994,april,23,saturday,8613,TRUE
1994,april,24,sunday,8089,TRUE
1994,april,25,monday,10909,FALSE
1994,april,26,tuesday,12236,FALSE
1994,april,27,wednesday,11701,FALSE
1994,april,28,thursday,11527,FALSE
1994,april,29,friday,11474,FALSE
1994,april,30,saturday,8621,TRUE
1994,may,1,sunday,8145,TRUE
1994,may,2,monday,11169,FALSE
1994,may,3,tuesday,12023,FALSE
1994,may,4,wednesday,11754,FALSE
1994,may,5,thursday,11958,FALSE
1994,may,6,friday,11904,FALSE
1994,may,7,saturday,8641,TRUE
1994,may,8,sunday,8203,TRUE
1994,may,9,monday,10914,FALSE
1994,may,10,tuesday,11771,FALSE
1994,may,11,wednesday,11278,FALSE
1994,may,12,thursday,11822,FALSE
1994,may,13,friday,11085,FALSE
1994,may,14,saturday,8830,TRUE
1994,may,15,sunday,8253,TRUE
1994,may,16,monday,11103,FALSE
1994,may,17,tuesday,12289,FALSE
1994,may,18,wednesday,11668,FALSE
1994,may,19,thursday,11411,FALSE
1994,may,20,friday,11645,FALSE
1994,may,21,saturday,8830,TRUE
1994,may,22,sunday,8449,TRUE
1994,may,23,monday,11434,FALSE
1994,may,24,tuesday,12562,FALSE
1994,may,25,wednesday,12005,FALSE
1994,may,26,thursday,11979,FALSE
1994,may,27,friday,12132,FALSE
1994,may,28,saturday,8840,TRUE
1994,may,29,sunday,8205,TRUE
1994,may,30,monday,8468,FALSE
1994,may,31,tuesday,11525,FALSE
1994,june,1,wednesday,12349,FALSE
1994,june,2,thursday,12166,FALSE
1994,june,3,friday,11799,FALSE
1994,june,4,saturday,9182,TRUE
1994,june,5,sunday,8289,TRUE
1994,june,6,monday,11130,FALSE
1994,june,7,tuesday,12145,FALSE
1994,june,8,wednesday,11784,FALSE
1994,june,9,thursday,11648,FALSE
1994,june,10,friday,12006,FALSE
1994,june,11,saturday,8618,TRUE
1994,june,12,sunday,8171,TRUE
1994,june,13,monday,10692,FALSE
1994,june,14,tuesday,12074,FALSE
1994,june,15,wednesday,11954,FALSE
1994,june,16,thursday,11852,FALSE
1994,june,17,friday,11744,FALSE
1994,june,18,saturday,8907,TRUE
1994,june,19,sunday,8302,TRUE
1994,june,20,monday,11337,FALSE
1994,june,21,tuesday,12182,FALSE
1994,june,22,wednesday,12213,FALSE
1994,june,23,thursday,11939,FALSE
1994,june,24,friday,11979,FALSE
1994,june,25,saturday,9047,TRUE
1994,june,26,sunday,8306,TRUE
1994,june,27,monday,11309,FALSE
1994,june,28,tuesday,12211,FALSE
1994,june,29,wednesday,12245,FALSE
1994,june,30,thursday,12157,FALSE
1994,july,1,friday,12454,FALSE
1994,july,2,saturday,9268,TRUE
1994,july,3,sunday,8298,TRUE
1994,july,4,monday,8564,FALSE
1994,july,5,tuesday,11609,FALSE
1994,july,6,wednesday,13086,FALSE
1994,july,7,thursday,13049,FALSE
1994,july,8,friday,12623,FALSE
1994,july,9,saturday,9325,TRUE
1994,july,10,sunday,8684,TRUE
1994,july,11,monday,11567,FALSE
1994,july,12,tuesday,12507,FALSE
1994,july,13,wednesday,12134,FALSE
1994,july,14,thursday,12485,FALSE
1994,july,15,friday,12691,FALSE
1994,july,16,saturday,9547,TRUE
1994,july,17,sunday,8848,TRUE
1994,july,18,monday,11561,FALSE
1994,july,19,tuesday,12583,FALSE
1994,july,20,wednesday,12378,FALSE
1994,july,21,thursday,12447,FALSE
1994,july,22,friday,12486,FALSE
1994,july,23,saturday,9463,TRUE
1994,july,24,sunday,8734,TRUE
1994,july,25,monday,11757,FALSE
1994,july,26,tuesday,12591,FALSE
1994,july,27,wednesday,12423,FALSE
1994,july,28,thursday,12539,FALSE
1994,july,29,friday,12231,FALSE
1994,july,30,saturday,9340,TRUE
1994,july,31,sunday,8590,TRUE
1994,august,1,monday,11428,FALSE
1994,august,2,tuesday,12622,FALSE
1994,august,3,wednesday,12147,FALSE
1994,august,4,thursday,12601,FALSE
1994,august,5,friday,12251,FALSE
1994,august,6,saturday,9336,TRUE
1994,august,7,sunday,8517,TRUE
1994,august,8,monday,11528,FALSE
1994,august,9,tuesday,12643,FALSE
1994,august,10,wednesday,12525,FALSE
1994,august,11,thursday,12147,FALSE
1994,august,12,friday,12479,FALSE
1994,august,13,saturday,9474,TRUE
1994,august,14,sunday,8926,TRUE
1994,august,15,monday,11391,FALSE
1994,august,16,tuesday,12605,FALSE
1994,august,17,wednesday,12344,FALSE
1994,august,18,thursday,12313,FALSE
1994,august,19,friday,12227,FALSE
1994,august,20,saturday,9646,TRUE
1994,august,21,sunday,8663,TRUE
1994,august,22,monday,11489,FALSE
1994,august,23,tuesday,12284,FALSE
1994,august,24,wednesday,12176,FALSE
1994,august,25,thursday,12076,FALSE
1994,august,26,friday,12122,FALSE
1994,august,27,saturday,9171,TRUE
1994,august,28,sunday,8779,TRUE
1994,august,29,monday,11560,FALSE
1994,august,30,tuesday,12431,FALSE
1994,august,31,wednesday,12272,FALSE
1994,september,1,thursday,12183,FALSE
1994,september,2,friday,12099,FALSE
1994,september,3,saturday,9042,TRUE
1994,september,4,sunday,8420,TRUE
1994,september,5,monday,8378,FALSE
1994,september,6,tuesday,11448,FALSE
1994,september,7,wednesday,12660,FALSE
1994,september,8,thursday,12693,FALSE
1994,september,9,friday,12811,FALSE
1994,september,10,saturday,9424,TRUE
1994,september,11,sunday,8373,TRUE
1994,september,12,monday,11500,FALSE
1994,september,13,tuesday,12560,FALSE
1994,september,14,wednesday,12566,FALSE
1994,september,15,thursday,12655,FALSE
1994,september,16,friday,12884,FALSE
1994,september,17,saturday,9779,TRUE
1994,september,18,sunday,8603,TRUE
1994,september,19,monday,11659,FALSE
1994,september,20,tuesday,12584,FALSE
1994,september,21,wednesday,12468,FALSE
1994,september,22,thursday,12590,FALSE
1994,september,23,friday,12522,FALSE
1994,september,24,saturday,9597,TRUE
1994,september,25,sunday,8754,TRUE
1994,september,26,monday,11597,FALSE
1994,september,27,tuesday,12591,FALSE
1994,september,28,wednesday,12405,FALSE
1994,september,29,thursday,12288,FALSE
1994,september,30,friday,12090,FALSE
1994,october,1,saturday,9351,TRUE
1994,october,2,sunday,8477,TRUE
1994,october,3,monday,11437,FALSE
1994,october,4,tuesday,12378,FALSE
1994,october,5,wednesday,12061,FALSE
1994,october,6,thursday,12017,FALSE
1994,october,7,friday,12050,FALSE
1994,october,8,saturday,8981,TRUE
1994,october,9,sunday,8038,TRUE
1994,october,10,monday,11110,FALSE
1994,october,11,tuesday,12236,FALSE
1994,october,12,wednesday,11846,FALSE
1994,october,13,thursday,11398,FALSE
1994,october,14,friday,11959,FALSE
1994,october,15,saturday,9077,TRUE
1994,october,16,sunday,8022,TRUE
1994,october,17,monday,11127,FALSE
1994,october,18,tuesday,11888,FALSE
1994,october,19,wednesday,11533,FALSE
1994,october,20,thursday,11876,FALSE
1994,october,21,friday,11562,FALSE
1994,october,22,saturday,9086,TRUE
1994,october,23,sunday,7914,TRUE
1994,october,24,monday,11068,FALSE
1994,october,25,tuesday,12019,FALSE
1994,october,26,wednesday,11683,FALSE
1994,october,27,thursday,11420,FALSE
1994,october,28,friday,11608,FALSE
1994,october,29,saturday,8855,TRUE
1994,october,30,sunday,8262,TRUE
1994,october,31,monday,9833,FALSE
1994,november,1,tuesday,12316,FALSE
1994,november,2,wednesday,11736,FALSE
1994,november,3,thursday,11703,FALSE
1994,november,4,friday,11956,FALSE
1994,november,5,saturday,8826,TRUE
1994,november,6,sunday,8100,TRUE
1994,november,7,monday,11283,FALSE
1994,november,8,tuesday,11999,FALSE
1994,november,9,wednesday,11811,FALSE
1994,november,10,thursday,11728,FALSE
1994,november,11,friday,11533,FALSE
1994,november,12,saturday,8672,TRUE
1994,november,13,sunday,8093,TRUE
1994,november,14,monday,11044,FALSE
1994,november,15,tuesday,11985,FALSE
1994,november,16,wednesday,11634,FALSE
1994,november,17,thursday,11703,FALSE
1994,november,18,friday,11826,FALSE
1994,november,19,saturday,8771,TRUE
1994,november,20,sunday,8133,TRUE
1994,november,21,monday,11807,FALSE
1994,november,22,tuesday,12764,FALSE
1994,november,23,wednesday,11332,FALSE
1994,november,24,thursday,8036,FALSE
1994,november,25,friday,9419,FALSE
1994,november,26,saturday,8427,TRUE
1994,november,27,sunday,7937,TRUE
1994,november,28,monday,11003,FALSE
1994,november,29,tuesday,12177,FALSE
1994,november,30,wednesday,11643,FALSE
1994,december,1,thursday,11681,FALSE
1994,december,2,friday,11379,FALSE
1994,december,3,saturday,8585,TRUE
1994,december,4,sunday,7980,TRUE
1994,december,5,monday,10772,FALSE
1994,december,6,tuesday,11923,FALSE
1994,december,7,wednesday,11335,FALSE
1994,december,8,thursday,11337,FALSE
1994,december,9,friday,11205,FALSE
1994,december,10,saturday,8461,TRUE
1994,december,11,sunday,7936,TRUE
1994,december,12,monday,11106,FALSE
1994,december,13,tuesday,11884,FALSE
1994,december,14,wednesday,11716,FALSE
1994,december,15,thursday,11962,FALSE
1994,december,16,friday,12144,FALSE
1994,december,17,saturday,8726,TRUE
1994,december,18,sunday,8130,TRUE
1994,december,19,monday,11502,FALSE
1994,december,20,tuesday,12880,FALSE
1994,december,21,wednesday,12391,FALSE
1994,december,22,thursday,11504,FALSE
